"full_name_paper","lat","long","tri_prev","tri_np","tri_examined","tri_nneg","tri_prev_logit","alt","bio12","lakes","canals","roads","railroads"
"Bukoma",0.0865,33.9595,0.958,70,73.0688935281837,3.06889352818372,3.12727815968749,1171,1041,23957.759765625,0,1855.32269751879,34323.4699040042
"St Cecilia",0.09733,33.973,0.691,50,72.3589001447178,22.3589001447178,0.804898546869924,1185,1041,24879.212890625,0,927.661134343193,33395.8008362513
"Lunyofu",0.08167,33.9805,0.917,67,73.0643402399128,6.06434023991275,2.40236686445987,1142,1001,23036.30859375,0,0,32468.154028849
"Musoma Budalangi",0.06217,33.9818,0.937,82,87.513340448239,5.51334044823905,2.69964855584689,1140,1001,21193.40234375,0,0,32468.1656268434
"Bubango",0.10633,33.9903,0.695,51,73.3812949640288,22.3812949640288,0.82370006895738,1169,1041,25800.6640625,0,0,31540.4706146739
"Busembe",0.1905,34.0083,0.554,41,74.0072202166065,33.0072202166065,0.216945734727219,1150,1210,35015.1875,0,0,29685.0396563562
"Busijo",0.1995,34.0122,0.281,15,53.3807829181495,38.3807829181495,-0.939406688387301,1161,1210,35936.640625,0,0,28757.3682690385
"Bujwanga",0.22233,34.0212,0.368,22,59.7826086956522,37.7826086956522,-0.540706455977927,1155,1237,38700.99609375,0,0,27829.667370262
"Namunyweda",0.1835,34.03,0.265,13,49.0566037735849,36.0566037735849,-1.02004067322661,1251,1210,35015.1875,0,0,26902.0671886194
"Sigulu",0.28033,34.06,0.817,60,73.4394124847001,13.4394124847001,1.49625294201858,1153,1356,45151.1640625,0,0,23191.2871404476
"Agenga",0.24367,34.0637,0.138,9,65.2173913043478,56.2173913043478,-1.83190158550649,1296,1404,41465.35546875,0,0,23191.3485413427
"Namalo",0.14483,34.0702,0.486,36,74.0740740740741,38.0740740740741,-0.0559146415546714,1184,1149,30407.92578125,0,0,22263.8265240837
"Rumbiye",0.2135,34.0732,0.379,30,79.155672823219,49.155672823219,-0.493694876851052,1227,1404,37779.546875,0,0,22263.7460595425
"Bwangangi",0.346,34.0853,0.566,42,74.2049469964664,32.2049469964664,0.265649544102778,1152,1505,52522.78515625,0,0,20408.2040343733
"Buduta",0.20683,34.0892,0.826,62,75.0605326876513,13.0605326876513,1.55763947430645,1216,1306,36858.09375,0,0,20408.4446087381
"Namuduru",0.17617,34.0925,0.424,31,73.1132075471698,42.1132075471698,-0.306274205463934,1210,1306,34093.734375,0,0,19480.8162800686
"Madola",0.242,34.0968,0.7679,43,55.996874593046,12.996874593046,1.19659120305611,1228,1464,41465.35546875,0,0,19480.7327747881
"Nambuku",0.318,34.11,0.296,16,54.054054054054,38.054054054054,-0.866318901833982,1207,1499,49767.07421875,0,0,17625.3115631099
"Sagania",0.30517,34.1275,0.335,26,77.6119402985075,51.6119402985075,-0.685556508830788,1231,1661,47996.2734375,0,0,15770.0404618238
"Busulere",0.3235,34.1292,0.094,7,74.468085106383,67.468085106383,-2.26564452377298,1216,1661,49836.19140625,0,0,15770.0156091294
"Nyakhobi",0.31867,34.1333,0.313,18,57.5079872204473,39.5079872204473,-0.786031101682196,1216,1661,49836.19140625,0,0,15770.0156091294
"Kabwodo",0.3095,34.1758,0.546,41,75.0915750915751,34.0915750915751,0.184621777703557,1336,1731,49545.48046875,0,0,10204.1358949118
